"Time","images_score_v2.lance / get_range","images_v6.lance / get_range","manual_image_appraisal_v1.lance / get_range","manual_skeet_appraisal_v1.lance / get_range","images_score_v2.lance / get","images_v6.lance / get","manual_image_appraisal_v1.lance / get","manual_skeet_appraisal_v1.lance / get","validate_v1.lance / get","images_score_v2.lance / head","images_score_v2.lance / list","images_v6.lance / list","manual_image_appraisal_v1.lance / list","manual_skeet_appraisal_v1.lance / list","validate_v1.lance / list","images_score_v2.lance / put"
1777390380000,1.333325925967078,1.333325925967078,undefined,undefined,0,259.9985555635802,0,0,0,0,3.999977777901234,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777390440000,1.333325925967078,1.333325925967078,undefined,undefined,0,259.9985555635802,0,0,0,0,2.666651851934156,5.333303703868312,2.666651851934156,2.666651851934156,2.666651851934156,0
1777390500000,12001.333333333332,1.3333333333333333,undefined,undefined,12041.333333333332,286.66666666666663,0,0,0,0,14.666666666666666,6.666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,6.666666666666666
1777390560000,23990.666666666664,1.3333333333333333,undefined,undefined,24044,26.666666666666664,0,0,0,240,22.666666666666664,4,0,0,0,6.666666666666666
1777390620000,23990.666666666664,1.3333333333333333,undefined,undefined,24056,333.3333333333333,0,0,0,240,40,16,8,8,8,13.333333333333332
1777390680000,11990.666666666666,1.3333333333333333,undefined,undefined,12014.666666666666,306.66666666666663,0,0,0,240,28,14.666666666666666,9.333333333333332,9.333333333333332,9.333333333333332,6.666666666666666
1777390740000,0,0,undefined,undefined,11.99986666814813,306.6632592971189,0,0,0,0,19.999777780246884,14.666503705514382,10.666548149465005,10.666548149465005,10.666548149465005,6.666592593415627
1777390800000,0,0,undefined,undefined,0,0,0,0,0,0,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
1777390860000,0,0,undefined,undefined,0,0,0,0,0,0,3.9999333344444263,3.9999333344444263,3.9999333344444263,3.9999333344444263,3.9999333344444263,0
1777390920000,0,1.333325925967078,undefined,undefined,6.6666296298353895,258.66522963761315,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777390980000,0,1.333325925967078,undefined,undefined,6.6666296298353895,258.66522963761315,0,0,0,0,6.6666296298353895,6.6666296298353895,3.999977777901234,3.999977777901234,3.999977777901234,0
1777391040000,1.3333333333333333,2.6666666666666665,undefined,undefined,53.33333333333333,516,0,0,0,0,9.333333333333332,9.333333333333332,4,4,4,0
1777391100000,1.3333333333333333,1.3333333333333333,undefined,undefined,46.666666666666664,257.3333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777391160000,1.3333333333333333,1.3333333333333333,undefined,undefined,46.666666666666664,257.3333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777391220000,0,1.3333333333333333,undefined,undefined,10.666666666666666,289.3333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777391280000,0,1.333325925967078,undefined,undefined,10.666607407736624,289.3317259348559,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777391340000,0,1.333325925967078,undefined,undefined,10.666607407736624,289.3317259348559,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777391400000,0,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777391460000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777391520000,0,0,undefined,undefined,0,0,0,0,0,0,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
1777391580000,1.3333037043621252,1.3333037043621252,undefined,undefined,46.66562965267438,258.6609186462523,0,0,0,0,6.666518521810626,6.666518521810626,3.999911113086376,3.999911113086376,3.999911113086376,0
1777391640000,1.3333037043621252,1.3333037043621252,undefined,undefined,46.66562965267438,258.6609186462523,0,0,0,0,6.666518521810626,6.666518521810626,3.999911113086376,3.999911113086376,3.999911113086376,0
1777391700000,2.666637037366251,1.3333185186831256,undefined,undefined,46.6661481539094,258.66379262452637,0,0,0,0,6.666592593415627,6.666592593415627,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
1777391760000,1.333325925967078,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777391820000,1.333325925967078,0,undefined,undefined,0,0,0,0,0,0,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,3.999977777901234,0
1777391880000,0,1.333325925967078,undefined,undefined,51.99971111271604,289.3317259348559,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777391940000,0,1.3333333333333333,undefined,undefined,52,289.3333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777392000000,0,1.3333333333333333,undefined,undefined,52,289.3333333333333,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777392060000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777392120000,0,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777392180000,1.3333333333333333,1.3333333333333333,undefined,undefined,46.666666666666664,261.3333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777392240000,1.3333333333333333,1.3333333333333333,undefined,undefined,46.666666666666664,261.3333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777392300000,2.6666666666666665,1.3333333333333333,undefined,undefined,46.666666666666664,261.3333333333333,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777392360000,1.333325925967078,1.333325925967078,undefined,undefined,51.99971111271604,293.33170371275713,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777392420000,1.333325925967078,1.333325925967078,undefined,undefined,51.99971111271604,293.33170371275713,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777392480000,0,1.333325925967078,undefined,undefined,51.99971111271604,293.33170371275713,0,0,0,0,15.999911111604936,10.666607407736624,5.333303703868312,5.333303703868312,5.333303703868312,6.6666296298353895
1777392540000,0,1.3333333333333333,undefined,undefined,12,314.66666666666663,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777392600000,0,1.3333333333333333,undefined,undefined,12,314.66666666666663,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777392660000,0,1.3333333333333333,undefined,undefined,12,314.66666666666663,0,0,0,0,16,10.666666666666666,5.333333333333333,5.333333333333333,5.333333333333333,6.666666666666666
1777392720000,1.3333333333333333,1.3333333333333333,undefined,undefined,8,266.66666666666663,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777392780000,1.3333333333333333,1.3333333333333333,undefined,undefined,8,266.66666666666663,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777392840000,2.6666666666666665,1.3333333333333333,undefined,undefined,8,266.66666666666663,0,0,0,0,6.666666666666666,6.666666666666666,4,4,4,0
1777392900000,1.3333333333333333,0,undefined,undefined,0,0,0,0,0,0,4,4,4,4,4,0
1777392960000,1.3333185186831256,0,undefined,undefined,0,0,0,0,0,0,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,3.9999555560493767,0
