"Time","get_range / B","put / A"
1777400520000,3914.333333333333,NaN
1777400580000,3914.3333333333335,NaN
1777400640000,3914.3333333333335,NaN
1777400700000,NaN,NaN
1777400760000,NaN,NaN
1777400820000,NaN,NaN
1777400880000,NaN,NaN
1777400940000,NaN,NaN
1777401000000,NaN,NaN
1777401060000,NaN,NaN
1777401120000,3822.333333333333,NaN
1777401180000,3822.333333333333,NaN
1777401240000,3822.333333333333,NaN
1777401300000,NaN,NaN
1777401360000,7952,543.1428571428572
1777401420000,7952,543.1428571428572
1777401480000,7952,543.1428571428572
1777401540000,NaN,NaN
1777401600000,NaN,NaN
1777401660000,NaN,NaN
1777401720000,5199.5,NaN
1777401780000,5199.5,NaN
1777401840000,5199.5,NaN
1777401900000,NaN,NaN
1777401960000,NaN,NaN
1777402020000,NaN,NaN
1777402080000,NaN,NaN
1777402140000,NaN,NaN
1777402200000,NaN,NaN
1777402260000,7955.999999999999,601.6
1777402320000,4924.5,601.6
1777402380000,4924.5,601.6
1777402440000,3914,NaN
1777402500000,NaN,NaN
1777402560000,NaN,NaN
1777402620000,NaN,NaN
1777402680000,NaN,NaN
1777402740000,7954.999999999999,601.6
1777402800000,7954.999999999999,601.6
1777402860000,7954.999999999999,601.6
1777402920000,3731.333333333333,NaN
1777402980000,3167.5,NaN
1777403040000,3167.5,NaN
1777403100000,4716.5,601.6
1777403160000,7956.9557946900295,601.5966577963457
1777403220000,7956.999999999999,601.6
1777403280000,NaN,NaN
1777403340000,8051.044727777778,634.2035233333334
1777403400000,8051,634.2
1777403460000,8051,634.2
1777403520000,4841.473102927207,601.3966589074505
1777403580000,4841.5,601.4
1777403640000,4841.5,601.4
1777403700000,NaN,NaN
1777403760000,NaN,NaN
1777403820000,NaN,NaN
1777403880000,1042.829538379054,536.5
1777403940000,1060.9871241577832,634.4000000000001
1777404000000,1060.9871262487216,634.4
1777404060000,1120.86810974075,699.6666666666666
1777404120000,4967.5,NaN
1777404180000,3803.666666666666,NaN
1777404240000,3803.666666666666,NaN
1777404300000,4716.499999999999,601.6
1777404360000,8006.000000000001,618.0000000000001
1777404420000,8005.999999999999,618.0000000000001
1777404480000,8055,634.4000000000001
1777404540000,NaN,NaN
1777404600000,NaN,NaN
1777404660000,NaN,NaN
1777404720000,4967.472403544346,NaN
1777404780000,4841.9731004483265,601.5966578334807
1777404840000,4842,601.6
1777404900000,4716.526202777778,601.6033422222222
1777404960000,NaN,NaN
1777405020000,NaN,NaN
1777405080000,NaN,NaN
1777405140000,NaN,NaN
1777405200000,NaN,NaN
1777405260000,NaN,NaN
1777405320000,7866,NaN
1777405380000,7866,NaN
1777405440000,6088.333333333333,NaN
1777405500000,5199.500000000001,NaN
1777405560000,5199.500000000001,NaN
1777405620000,NaN,NaN
1777405680000,NaN,NaN
1777405740000,NaN,NaN
1777405800000,7955.999999999999,601.6
1777405860000,7956,601.6
1777405920000,5936.333333333333,601.6
1777405980000,3732.333333333333,NaN
1777406040000,3168.4999999999995,NaN
1777406100000,1410.5,NaN
1777406160000,1477,NaN
1777406220000,NaN,NaN
1777406280000,7954.999999999999,601.2
1777406340000,7954.999999999999,601.2
